maintenance_id,truck_id,maintenance_date,maintenance_type,odometer_reading,labor_hours,labor_cost,parts_cost,total_cost,facility_location,downtime_hours,service_description
MAINT00000001,TRK00085,2022-01-01,Inspection,400255,7.8,781.42,10.41,791.83,"Kansas City",22.2,"Emergency Inspection"
MAINT00000002,TRK00041,2022-01-01,Tire,268041,0.9,80.91,3207.16,3288.07,Seattle,8,"Scheduled Tire"
MAINT00000003,TRK00090,2022-01-01,Preventive,698915,7.2,733.18,1570.57,2303.75,Miami,16.5,"Routine Preventive"
MAINT00000004,TRK00056,2022-01-02,Inspection,416522,2.8,298.8,67.48,366.28,"Kansas City",34.6,"Emergency Inspection"
MAINT00000005,TRK00029,2022-01-02,Repair,179968,4.6,409.08,982.59,1391.67,Omaha,4.4,"Emergency Repair"
MAINT00000006,TRK00120,2022-01-02,Preventive,680507,5,498.12,3029.54,3527.66,Omaha,43.5,"Scheduled Preventive"
MAINT00000007,TRK00017,2022-01-02,Repair,599078,0.9,83.38,1098.9,1182.28,Denver,34.8,"Emergency Repair"
MAINT00000008,TRK00038,2022-01-03,Tire,605379,7.1,785.79,1483.25,2269.04,Miami,3.9,"Scheduled Tire"
MAINT00000009,TRK00054,2022-01-03,Inspection,232147,4,371.51,143.21,514.72,Dallas,14,"Routine Inspection"
MAINT00000010,TRK00076,2022-01-03,Inspection,222428,0.6,74.65,14.12,88.77,Columbus,23,"Emergency Inspection"
MAINT00000011,TRK00075,2022-01-04,Preventive,316796,2.2,208.96,2521.65,2730.61,Atlanta,30.1,"Emergency Preventive"
MAINT00000012,TRK00075,2022-01-05,Tire,422318,6.9,713.9,2958.89,3672.79,Nashville,39.8,"Scheduled Tire"
MAINT00000013,TRK00102,2022-01-05,Preventive,191896,3.4,320.22,3187.72,3507.94,Columbus,13.1,"Scheduled Preventive"
MAINT00000014,TRK00107,2022-01-05,Transmission,743890,0.8,86.23,1060.27,1146.5,Philadelphia,3.8,"Routine Transmission"
MAINT00000015,TRK00099,2022-01-06,Brake,335024,4.5,540.61,1202.57,1743.18,"Las Vegas",5.4,"Routine Brake"
MAINT00000016,TRK00096,2022-01-06,Transmission,602868,5,549.31,1569.41,2118.72,"New York",33.5,"Scheduled Transmission"
MAINT00000017,TRK00067,2022-01-06,Repair,140744,3.3,398.02,1741.81,2139.83,Columbus,24.3,"Emergency Repair"
MAINT00000018,TRK00105,2022-01-06,Transmission,169446,2.3,213.74,3292.48,3506.22,Nashville,13.6,"Scheduled Transmission"
MAINT00000019,TRK00052,2022-01-08,Brake,416258,7.1,817.97,2041.84,2859.81,Dallas,24.8,"Scheduled Brake"
MAINT00000020,TRK00042,2022-01-08,Transmission,321175,0.7,72.4,64.06,136.46,"Kansas City",41.7,"Emergency Transmission"
MAINT00000021,TRK00044,2022-01-08,Brake,414068,6.6,578.45,467.98,1046.43,Detroit,7.1,"Emergency Brake"
MAINT00000022,TRK00112,2022-01-08,Brake,600597,4.8,470.26,477.73,947.99,Nashville,17.7,"Emergency Brake"
MAINT00000023,TRK00072,2022-01-09,Repair,341871,7.3,637.67,1030.93,1668.6,Charlotte,11.2,"Routine Repair"
MAINT00000024,TRK00068,2022-01-09,Preventive,439480,4.3,477.14,2446.27,2923.41,"Kansas City",8.5,"Routine Preventive"
MAINT00000025,TRK00015,2022-01-09,Brake,597392,4.1,410.5,944.57,1355.07,"New York",6.1,"Emergency Brake"
MAINT00000026,TRK00070,2022-01-10,Tire,52211,5.3,559.51,2440.72,3000.23,Minneapolis,31.1,"Scheduled Tire"
MAINT00000027,TRK00008,2022-01-10,Transmission,412408,1.4,156.92,2509.7,2666.62,Phoenix,28.9,"Emergency Transmission"
MAINT00000028,TRK00046,2022-01-10,Brake,477257,4.5,459.8,996.88,1456.68,Portland,27.1,"Emergency Brake"
MAINT00000029,TRK00110,2022-01-10,Tire,512580,1.3,120.48,1986.74,2107.22,Minneapolis,38.6,"Emergency Tire"
MAINT00000030,TRK00065,2022-01-10,Repair,531717,0.7,67.34,2353.98,2421.32,Omaha,40,"Scheduled Repair"
MAINT00000031,TRK00091,2022-01-11,Preventive,86945,3.5,370.22,3247.63,3617.85,"Los Angeles",35,"Emergency Preventive"
MAINT00000032,TRK00093,2022-01-11,Preventive,747986,2.9,256.81,1550.12,1806.93,Miami,9.1,"Routine Preventive"
MAINT00000033,TRK00029,2022-01-11,Engine,213961,3.6,373.4,698.65,1072.05,Portland,23.4,"Emergency Engine"
MAINT00000034,TRK00077,2022-01-11,Repair,479412,0.9,92.6,1010.33,1102.93,Omaha,26.6,"Emergency Repair"
MAINT00000035,TRK00034,2022-01-12,Preventive,613026,4.5,516.01,1874.09,2390.1,Nashville,25.3,"Scheduled Preventive"
